,SampleID,Block,Position,Order,Timing,DNA_Qubit,Chla_curve,g_DNA_wet,g_chla_wet,wet_dry_convert,g_DNA_dry,g_chla_dry,Group,Treatment_description
P514,P514,5,14,OO,1,0.949,692.47,0.363,23.263,0.794,0.288,18.471,OO1,"Orange mat added to experimental holes initially and then later, sampled after one season"
P515,P515,5,15,OB,1,1.74,335.18,0.376,22.336,0.794,0.299,17.735,OB1,"Orange mat added to experimental holes initially and then black mat added later, sampled after one season"
P516,P516,5,16,AL,1,1.67,245.62,0.396,20.487,0.794,0.314,16.267,AL1,"Both mats added to experimental holes initially and then later, sampled after one season"
P521,P521,5,21,AL,2,0,106.84,0.38,18.634,0.7822,0.297,14.576,AL2,"Both mats added to experimental holes initially and then later, sampled after two seasons"
P522,P522,5,22,OO,2,0.673,NA,0.42,23.225,0.7994,0.336,18.566,OO2,"Orange mat added to experimental holes initially and then later, sampled after two seasons"
P523,P523,5,23,NO,2,0,75.83,0.33,25.411,0.7888,0.26,20.044,NO2,"Sediment added to experimental holes with no mat, sampled after two seasons"
P524,P524,5,24,OB,2,0.349,265.3,0.36,22.585,0.7925,0.285,17.899,OB2,"Orange mat added to experimental holes initially and then black mat added later, sampled after two seasons"
P525,P525,5,25,BO,2,0.561,289.91,NA,25.601,0.7995,0,20.468,BO2,"Black mat added to experimental holes initially and then orange mat added later, sampled after two seasons"
P526,P526,5,26,BB,2,0.193,103.88,NA,25.0613,0.8244,0,20.661,BB2,"Black mat added to experimental holes initially and then later, sampled after two seasons"
P612,P612,6,12,BB,1,0.215,4.67,0.403,9.426,0.794,0.32,7.484,BB1,"Black mat added to experimental holes initially and then later, sampled after one season"
P613,P613,6,13,BO,1,0.196,313.53,0.335,14.961,0.794,0.266,11.879,BO1,"Black mat added to experimental holes initially and then orange mat added later, sampled after one season"
P615,P615,6,15,OB,1,0.615,288.92,0.38,25.03,0.794,0.302,19.874,OB1,"Orange mat added to experimental holes initially and then black mat added later, sampled after one season"
P623,P623,6,23,AL,1,1.92,133.41,0.325,11.299,0.794,0.258,8.971,AL1,"Both mats added to experimental holes initially and then later, sampled after one season"
P624,P624,6,24,OO,1,0.634,150.14,0.34,7.164,0.794,0.27,5.688,OO1,"Orange mat added to experimental holes initially and then later, sampled after one season"
P631,P631,6,31,OB,2,0.443,98.96,0.53,18.64,0.799,0.423,14.893,OB2,"Orange mat added to experimental holes initially and then black mat added later, sampled after two seasons"
P632,P632,6,32,OO,2,0.816,605.85,0.44,20.439,0.7685,0.338,15.707,OO2,"Orange mat added to experimental holes initially and then later, sampled after two seasons"
P633,P633,6,33,AL,2,0.314,35.77,0.37,20.524,0.7927,0.293,16.269,AL2,"Both mats added to experimental holes initially and then later, sampled after two seasons"
P634,P634,6,34,BO,2,0.691,288.92,0.41,23.066,0.8098,0.332,18.679,BO2,"Black mat added to experimental holes initially and then orange mat added later, sampled after two seasons"
P635,P635,6,35,BB,2,0.144,75.93,0.35,23.0604,0.7877,0.276,18.165,BB2,"Black mat added to experimental holes initially and then later, sampled after two seasons"
P711,P711,7,11,BO,1,0.715,938.53,0.4,17.543,0.794,0.318,13.929,BO1,"Black mat added to experimental holes initially and then orange mat added later, sampled after one season"
P712,P712,7,12,AL,1,0.608,441.48,0.408,21.3,0.794,0.324,16.912,AL1,"Both mats added to experimental holes initially and then later, sampled after one season"
P713,P713,7,13,OB,1,1.72,55.75,0.369,18.518,0.794,0.293,14.703,OB1,"Orange mat added to experimental holes initially and then black mat added later, sampled after one season"
P714,P714,7,14,BB,1,0.42,23.08,0.346,16.898,0.794,0.275,13.417,BB1,"Black mat added to experimental holes initially and then later, sampled after one season"
P715,P715,7,15,OO,1,1.14,1159.99,0.483,21.022,0.794,0.384,16.691,OO1,"Orange mat added to experimental holes initially and then later, sampled after one season"
P731,P731,7,31,OO,2,0.322,282.03,0.56,24.302,0.8007,0.448,19.459,OO2,"Orange mat added to experimental holes initially and then later, sampled after two seasons"
P732,P732,7,32,BO,2,0.262,7.43,0.38,24.1195,0.7852,0.298,18.939,BO2,"Black mat added to experimental holes initially and then orange mat added later, sampled after two seasons"
P733,P733,7,33,AL,2,0.139,NA,0.36,23.6249,0.7584,0.273,17.917,AL2,"Both mats added to experimental holes initially and then later, sampled after two seasons"
P734,P734,7,34,BB,2,0.22,15.6,0.38,16.9637,0.8128,0.309,13.788,BB2,"Black mat added to experimental holes initially and then later, sampled after two seasons"
P735,P735,7,35,OB,2,0,40.5,0.37,25.7711,0.8307,0.307,21.408,OB2,"Orange mat added to experimental holes initially and then black mat added later, sampled after two seasons"
P811,P811,8,11,AL,2,0.577,71.5,0.35,26.36,0.8051,0.282,21.222,AL2,"Both mats added to experimental holes initially and then later, sampled after two seasons"
P812,P812,8,12,OB,2,1.58,173.77,0.47,22.581,0.7985,0.375,18.031,OB2,"Orange mat added to experimental holes initially and then black mat added later, sampled after two seasons"
P813,P813,8,13,BO,2,0.514,NA,0.54,26.208,0.7965,0.43,20.875,BO2,"Black mat added to experimental holes initially and then orange mat added later, sampled after two seasons"
P814,P814,8,14,BB,2,0.335,17.17,0.45,24.843,0.7846,0.353,19.492,BB2,"Black mat added to experimental holes initially and then later, sampled after two seasons"
P815,P815,8,15,OO,2,0.3,500.54,0.4,25.765,0.7914,0.317,20.39,OO2,"Orange mat added to experimental holes initially and then later, sampled after two seasons"
P821,P821,8,21,BO,1,1.42,929.67,0.348,23.707,0.794,0.276,18.823,BO1,"Black mat added to experimental holes initially and then orange mat added later, sampled after one season"
P822,P822,8,22,OO,1,3.32,960.18,0.379,15.167,0.794,0.301,12.043,OO1,"Orange mat added to experimental holes initially and then later, sampled after one season"
P823,P823,8,23,OB,1,0.985,105.85,0.397,21.36,0.794,0.315,16.96,OB1,"Orange mat added to experimental holes initially and then black mat added later, sampled after one season"
P824,P824,8,24,AL,1,1.12,215.11,0.381,16.309,0.794,0.303,12.949,AL1,"Both mats added to experimental holes initially and then later, sampled after one season"
P825,P825,8,25,BB,1,0.713,1.4,0.419,16.539,0.794,0.333,13.132,BB1,"Black mat added to experimental holes initially and then later, sampled after one season"
P911,P911,9,11,AL,2,0.566,219.04,0.35,27.012,0.7976,0.279,21.545,AL2,"Both mats added to experimental holes initially and then later, sampled after two seasons"
P912,P912,9,12,OO,2,NA,387.35,0.48,25.653,0.7859,0.377,20.161,OO2,"Orange mat added to experimental holes initially and then later, sampled after two seasons"
P913,P913,9,13,BO,2,0.599,149.16,0.34,25.828,0.7864,0.267,20.311,BO2,"Black mat added to experimental holes initially and then orange mat added later, sampled after two seasons"
P914,P914,9,14,OB,2,0.328,38.83,0.4,16.517,0.7939,0.318,13.113,OB2,"Orange mat added to experimental holes initially and then black mat added later, sampled after two seasons"
P915,P915,9,15,BB,2,0.063,18.75,0.49,25.888,0.7972,0.391,20.638,BB2,"Black mat added to experimental holes initially and then later, sampled after two seasons"
P931,P931,9,31,OB,1,0.318,23.27,0.385,26.162,0.794,0.306,20.773,OB1,"Orange mat added to experimental holes initially and then black mat added later, sampled after one season"
P932,P932,9,32,BO,1,0.208,2.5,0.363,16.409,0.794,0.288,13.029,BO1,"Black mat added to experimental holes initially and then orange mat added later, sampled after one season"
P933,P933,9,33,AL,1,0.312,10.48,0.357,22.62,0.794,0.283,17.96,AL1,"Both mats added to experimental holes initially and then later, sampled after one season"
P934,P934,9,34,BB,1,0.288,2.89,0.399,24.89,0.794,0.317,19.763,BB1,"Black mat added to experimental holes initially and then later, sampled after one season"
P935,P935,9,35,OO,1,0.731,358.81,0.45,25.03,0.794,0.357,19.874,OO1,"Orange mat added to experimental holes initially and then later, sampled after one season"
PEP0BL1,PEP0BL1,0,BL1,BB,0,0.237,213.12,NA,NA,NA,NA,NA,BB0,"Black mat alone, not deployed on glacier"
PEP0BL2,PEP0BL2,0,BL2,BB,0,0.456,355.2,NA,NA,NA,NA,NA,BB0,"Black mat alone, not deployed on glacier"
PEP0BL3,PEP0BL3,0,BL3,BB,0,0.35,NA,NA,NA,NA,NA,NA,BB0,"Black mat alone, not deployed on glacier"
PEP0OR1,PEP0OR1,0,OR1,OO,0,1.26,1136.64,NA,NA,NA,NA,NA,OO0,"Orange mat alone, not deployed on glacier"
PEP0OR2,PEP0OR2,0,OR2,OO,0,1.35,1154.4,NA,NA,NA,NA,NA,OO0,"Orange mat alone, not deployed on glacier"
PEP0OR3,PEP0OR3,0,OR3,OO,0,1.44,NA,NA,NA,NA,NA,NA,OO0,"Orange mat alone, not deployed on glacier"
PX1,PX1,X,X1,BB,0,1.13,NA,0.369,26.597,0.794,0.293,21.118,BB0,"Black mat with sediment, not deployed on glacier"
PX2,PX2,X,X2,AL,0,0.642,NA,0.425,28.861,0.794,0.337,22.916,AL0,Both mats added to sediment but not deployed on glacier
PX3,PX3,X,X3,OO,0,0,NA,0.328,27.99,0.794,0.26,22.224,OO0,"Orange mat with sediments, not deployed on glacier"
PX4,PX4,X,X4,NO,0,0.897,NA,0.313,28.095,0.794,0.249,22.307,NO0,"Sediment without either mat, not deployed on glacier"
